body,type,exact_answer,predicted_answers,TP,FP,FN
What are the symptoms of an incidental durotomy (ID).,list,"[['postural headaches'], ['vomiting'], ['dizziness'], ['photophobia'], ['tinnitus'], ['vertigo'], ['menningitis']]","[['Fever'], ['temporomandibular joint in patients with ankylosing spondylitis'], ['dyspnea'], ['cyst'], ['post-operative nausea and vomiting'], ['rhinosinusitis'], ['nausea'], ['negative'], ['headache, two reported nausea'], ['fibrosis']]",?,?,?
What are the functions of DNA and RNA G-quadruplexes?,list,"[['transcription'], ['translation'], ['splicing'], ['RNA regulation']]","[['inhibition of telomerase'], ['disruption'], ['to achieve anticancer effects'], ['G-quadruplex unfolding activity in HeLa cell lysates 6 . DHX36is a multi-functional helicase that has been implicated in G-quadruplex-mediated transcriptional and post-transcriptional regulation'], ['DNA replication'], ['transcription, and translation'], ['inhibit the proliferation of malignant tumours'], ['interact with the G-quadruplex through -stacking and electrostatic interactions'], ['small-molecule splicing'], ['turnover rate']]",?,?,?
Name scRNA-seq workflows which harness graph attention networks,list,"[['CellVGAE'], ['SCDRHA']]","[['seqCNA'], ['VICTOR'], ['CellVGAE'], ['ChIP-seq'], ['single-cell RNA sequencing (scRNA-seq)'], ['METHODS'], ['Linc-YY1, a novel lincRNA originating from the promoter of the transcription factor (TF) Yin Yang 1 (YY1). Starting from whole transcriptome shotgun sequencing (a.k.a. RNA-seq) data from muscle C2C12 cells, a series of bioinformatics analysis was applied towards the identification of hundreds of high-confidence novel lincRNAs. Genome-wide approaches were then employed to demonstrate that Linc-YY1 functions to promote myogenesis through associating with YY1 and regulating YY1/PRC2 transcriptional activity in trans. Here we describe the details of the ChIP-seq'], ['lipid tear'], ['Tear lipocalin']]",?,?,?
Which genetic susceptibility loci are implicated in irritable bowel syndrome (IBS)?,list,"[['NCAM1'], ['CADM2'], ['PHF2', 'FAM120A'], ['DOCK9'], ['CKAP2', 'TPTE2P3'], ['BAG6']]","[['trisomy 21'], ['Fanconi anemia'], ['BRCA1'], ['Nephropathic cystinosis'], ['Na-K-2Cl cotransporter'], ['anencephaly'], ['FANC'], ['chromosomal abnormalities, and cellular hypersensitivity to DNA interstrand crosslink (ICL) agents'], ['Apert syndrome, an other third part has Crouzon syndrome, and for the last third more exceptional acrocephalosyndactyly syndrome (Saethre-Chotzen, Pfeiffer) or others atypical associations, sometimes not yet described, but with an autosomal dominant inheritance'], ['vitamin B12 deficiency']]",?,?,?
Atlanto-axial rotary instability (Fielding type 1) is common to what diseases?,list,"[['rheumatoid arthritis'], ['connective tissues disorders'], ['infectious disease'], ['Stickler syndrome'], ['Loeys-Dietz syndrome'], [""Marfan's syndrome""], ['Morquio syndrome'], ['Ehlers-Danlos (EDS) syndrome']]","[['connective tissue disorders'], ['rheumatoid arthritis'], ['spinal hydatid disease is a rare variety of hydatid disease'], ['Type VI'], ['quadriparesis'], ['Schwannoma is a relatively common benign spinal cord and/or cauda equina tumor'], ['Primary cauda equina lymphoma'], ['connective tissue disorder'], ['SED'], ['cauda equina schwannoma']]",?,?,?
Which drugs were included in the polypill that was tested in TIPS-3 trial?,list,"[['atenolol'], ['ramipril'], ['hydrochlorothiazide'], ['statin']]","[['carmustine'], ['busulfan. Other drugs which are responsible for toxic lung disease are nitrofurantoin, sulfasalazine, D-penicillamine, betalactams, Diphenyl-hydantoin and carbamazepine'], ['Steroids'], ['bleomycin'], ['antitumor'], ['mokap119'], ['nitrofurantoin'], ['anti-PD-L1 agents'], ['antiarrhythmic drugs, and immunosuppressive agents. There are no distinct physiologic, radiographic or pathologic patterns of DILD, and the diagnosis is usually made when a patient with interstitial lung disease (ILD) is exposed to a medication known']]",?,?,?
In which aspects of the immune response is m6A methylation implicated?,list,"[['pathogen recognition'], ['immune cell activation'], ['immune cell fate decisions'], ['immune reactions']]","[['immune cell activation'], ['inactivation'], ['RNA metabolism'], ['resistance'], ['suppression of tumorigenicity 2 (ST2)'], ['circadian rhythms'], ['Indirect'], ['rejection'], ['inflammation'], ['possibility']]",?,?,?
What are the main clinical components of the brain death exam?,list,"[['coma'], ['neurologic exam', 'neurologic criteria'], ['Apnea test'], ['Ancillary test'], ['somatosensory evoked potentials'], ['electroencephalography'], ['transcranial Doppler ultrasonography'], ['nuclear medicine flow study'], ['conventional cerebral angiography'], ['brainstem auditory evoked potentials']]","[['diabetes'], ['neurologic criteria'], ['HbA1clevels'], ['electrical activity'], ['absence of neurologic function'], ['antihyperglycemic agents'], ['lipoprotein lipase'], ['Diabetes increase heart disease related to death by two- to four-fold. SGLT2 inhibitors'], [""Peyer's patches (PP)""], ['radionucleotide cerebral blood flow study']]",?,?,?
What variables are included in the MuLBSTA score?,list,"[['Multilobular infiltration'], ['hypo-Lymphocytosis'], ['Bacterial coinfection'], ['Smoking history'], ['hyper-Tension'], ['Age']]","[['hypo-lymphocytosis, bacterial coinfection, smoking history, hyper-tension, and age'], ['C-reactive protein'], ['PPROM'], ['age'], ['smoking history'], ['Age'], ['inflammation indicators'], ['inflammatory markers'], ['hypo-lymphocytosis'], ['autonomic dysfunction']]",?,?,?
Which organisms are the focus of the Wormbase?,list,"[['Caenorhabditis elegans'], ['nematodes'], ['parasitic flatworms']]","[['nematode Caenorhabditis elegans'], ['Caenorhabditis elegans'], ['nematode'], ['reliability'], ['Knowing'], ['Arabidopsis thaliana'], ['DNA binding domains to consider plant-specific TFs. This release'], ['indicate'], ['plants'], ['reduces']]",?,?,?
What are the targets of Tirbanibulin?,list,"[['Src kinase signaling'], ['tubulin polymerisation']]","[['actinic keratosis'], ['tubulin polymerisation inhibitor being developed by Athenex in conjunction with global partners for the topical treatment of actinic keratosis'], ['actin filament'], ['tubulin polymerization and Src'], ['cobalt chloride'], ['tubulins'], ['urethral epithelial cells'], ['reduction'], ['actin filaments']]",?,?,?
What are the targets of avapritinib?,list,"[['KIT'], ['PDGFRA']]","[['Pain'], ['active conformation of the kinase'], ['PDGFRα activation loop mutants'], ['right adrenal gland'], ['progression-free survival'], ['platelet-derived growth factor receptor alpha (PDGFRA)'], ['PDGFRA'], ['mucosal melanoma'], ['gastrointestinal'], ['PDGFRA exon 18-mutant unresectable']]",?,?,?
