body,type,exact_answer,predicted_answers,TP,FP,FN
List monoclonal antibodies included in the REGEN-COV.,list,"[['casirivimab'], ['imdevimab']]","[['aducanumab'], ['Aducanumab'], ['creatine kinase'], ['imdevimab'], ['vedolizumab, etrolizumab) and p40 chains shared by IL12 and IL23 (ustekinumab'], ['adalimumab'], ['casirivimab']]",?,?,?
Which databases are devoted to 3D genome interactions?,list,"[['3DIV'], ['3D Genome Browser'], ['GMOL'], ['3Disease Browser'], ['3DGD']]","[['3DGD'], ['3dgenome'], ['Spritz'], ['GenBank'], ['suggest'], ['RNA'], ['PYHIN'], ['explanation'], ['CB cDNA'], ['IGD']]",?,?,?
Where does REGN5458 bind to?,list,"[['B-cell maturation antigen', 'BCMA'], ['CD3']]","[['spike protein of the severe acute respiratory syndrome coronavirus 2 (SARS'], ['G-quadruplexes'], ['CoV-2) causes COVID-19 disease. Therapeutic antibodies are being developed that interact with the viral spike proteins'], ['Fever'], ['telomeric quadruplex'], ['severe acute respiratory syndrome coronavirus 2'], ['Covid-19'], ['immunity'], ['viral'], ['viral load']]",?,?,?
What are the currently FDA approved monoclonal antibodies for myeloma?,list,"[['belantamab mafodotin'], ['daratumumab'], ['elotuzumab'], ['isatuximab']]","[['Aducanumab'], ['HercepTest'], ['adalimumab'], ['IC50values'], ['ustekinumab'], ['CD38'], ['aducanumab'], ['marker'], ['uhelm']]",?,?,?
List the drug targets of Faricimab?,list,"[['VEGF-A'], ['Ang-2']]","[['Warfarin'], ['VEGF'], ['Ang-Tie/pathway'], ['Blomia tropicalis'], ['brolucizumab, port delivery system with ranibizumab, abicipar pegol'], ['nAMD'], ['VEGF-A'], ['medicinal plants concomitantly with conventional drugs can result in herb-drug interactions that cause fluctuations in drug bioavailability and consequent therapeutic failure and/or toxic effects. The CYP superfamily of enzymes plays an important role in herb-drug interactions. Among CYP enzymes, CYP3A4 and CYP2D6 are the most relevant since they metabolize about 50% and 30% of the drugs on the market, respectively. Thus, the main goal of this study was to evaluate the occurrence of in vitro interactions between medicinal plant extracts'], ['angiopoietin-2 and vascular endothelial growth factor-A (VEGF-A)'], ['Angiopoietin-2 (Ang-2)']]",?,?,?
Which CYP genes' expression is decreased at the in vivo level following pomegranate juice consumption?,list,"[['CYP1A2'], ['CYP3A']]","[['CIS43'], ['CYP3A'], ['interferon (IFN)-γ'], ['ferritin, and 11 cytokines measured in 95 patients with ALS and 88 healthy controls. Levels of circulating biomarkers were used to study survival by Cox regression analysis and correlated with disease progression and neurofilament light chain (NfL) levels available from a previous study. Cytokines expression was also tested in blood samples longitudinally collected for up to 4 years from 59 patients with ALS.Results:Significantly higher levels of CK, ferritin, tumor necrosis factor (TNF)-α'], ['AVPR1a'], ['ApoA1'], ['CYP1A2'], ['Intronless genes, which constitute 3 percent of the human genome, differ from intron-containing genes in evolution and function. Our analysis reveals that nucleosome positioning shows a distinct pattern in intronless and intron-containing genes. The nucleosome occupancy upstream of transcription start sites of intronless genes is lower than that of intron-containing genes. In contrast, high occupancy and well positioned nucleosomes are observed along the gene body of intronless genes, which is perfectly consistent with the barrier nucleosome model. Intronless genes'], ['Intronless genes']]",?,?,?
Class-defining mutations in which genes drive FLT3-ITD-mutant AML?,list,"[['NPM1'], ['MLL'], ['CEBPA']]","[['FAM72A'], ['cohesin'], ['CEBPA'], ['UNG2'], ['ITD) mutation within FMS-like tyrosine kinase 3 (FLT3)'], ['SATB1'], ['LYL1'], ['CTNS'], ['MLL-X'], ['Runx1 (5/38). Insertions at Setbp1 led exclusively to AML and activated a transcriptional program similar, but not identical, to those of NPM1']]",?,?,?
Belzutifan has shown effectiveness for which diseases?,list,"[['renal cell carcinomas'], ['hemangioblastomas'], ['pancreatic neuroendocrine tumors']]","[['cancer'], ['endometriosis'], ['von Hippel-Lindau syndrome'], ['VHL'], ['Bartter syndrome'], ['renal cell carcinoma'], ['VHL disease'], ['VHL) disease'], ['Jackhammer esophagus'], ['renal cell carcinomas']]",?,?,?
What is caused by biallelic variants in SPATA5L1?,list,"[['intellectual disability'], ['microcephaly'], ['spastic-dystonic cerebral palsy'], ['epilepsy'], ['hearing loss']]","[['Oguchi disease'], ['monogenic glycemic disorders'], ['intellectual disability'], ['sensorineural hearing loss'], ['infantile-onset spastic tetraplegia'], ['neurological disease'], ['autosomal recessive neurodevelopmental disorder'], ['complex neurological phenotypes'], ['developmental delay, progressive neurological and neurosensory abnormalities, and variable white matter involvement. We describe novel KARS1-associated signs such as autism']]",?,?,?
A combination of which two drugs was tested in the IMbrave150 trial?,list,"[['atezolizumab'], ['bevacizumab']]","[['atezolizumab-bevacizumab'], ['bevacizumab'], ['Atezolizumab'], ['atezolizumab'], ['atezolizumab plus bevacizumab']]",?,?,?
