body,type,exact_answer,predicted_answers,TP,FP,FN
List monoclonal antibodies included in the REGEN-COV.,list,"[['casirivimab'], ['imdevimab']]","[['imdevimab'], ['REGN10933'], ['casirivimab'], ['COVID-19'], ['emerge']]",?,?,?
Which databases are devoted to 3D genome interactions?,list,"[['3DIV'], ['3D Genome Browser'], ['GMOL'], ['3Disease Browser'], ['3DGD']]","[['3DIV'], ['3DGD'], ['3dgenome'], ['ChIP-seq'], ['GMOL']]",?,?,?
Where does REGN5458 bind to?,list,"[['B-cell maturation antigen', 'BCMA'], ['CD3']]","[['CD3'], ['CAR T cells containing a BCMA-binding single-chain variable fragment derived from REGN5458. Both BCMAxCD3 bsAb and anti-BCMA CAR T cells showed similar targeted cytotoxicity of MM cell lines'], ['already']]",?,?,?
What are the currently FDA approved monoclonal antibodies for myeloma?,list,"[['belantamab mafodotin'], ['daratumumab'], ['elotuzumab'], ['isatuximab']]",[['isatuximab']],?,?,?
List the drug targets of Faricimab?,list,"[['VEGF-A'], ['Ang-2']]","[['VEGF'], ['Ang-Tie/pathway'], ['Diabetic Retinopathy'], ['angiopoietin-2'], ['brolucizumab, port delivery system with ranibizumab, abicipar pegol'], ['nAMD'], ['VEGF-A'], ['angiopoietin-2 and vascular endothelial growth factor-A (VEGF-A)'], ['angiopoietin 2 (Ang-2) and vascular endothelial growth factor A (VEGF-A)'], ['Angiopoietin-2 (Ang-2)']]",?,?,?
Which CYP genes' expression is decreased at the in vivo level following pomegranate juice consumption?,list,"[['CYP1A2'], ['CYP3A']]","[['CYP3A'], ['CYP1A2']]",?,?,?
Class-defining mutations in which genes drive FLT3-ITD-mutant AML?,list,"[['NPM1'], ['MLL'], ['CEBPA']]","[['CEBPA'], ['Runx1 (5/38). Insertions at Setbp1 led exclusively to AML and activated a transcriptional program similar, but not identical, to those of NPM1'], ['Runx1']]",?,?,?
Belzutifan has shown effectiveness for which diseases?,list,"[['renal cell carcinomas'], ['hemangioblastomas'], ['pancreatic neuroendocrine tumors']]","[['clear cell renal cell carcinoma'], ['von Hippel-Lindau syndrome'], ['VHL'], ['renal cell carcinoma'], ['VHL disease'], ['VHL) disease'], ['renal cell carcinomas'], ['pancreatic neuroendocrine tumors']]",?,?,?
What is caused by biallelic variants in SPATA5L1?,list,"[['intellectual disability'], ['microcephaly'], ['spastic-dystonic cerebral palsy'], ['epilepsy'], ['hearing loss']]",[['sensorineural hearing loss']],?,?,?
A combination of which two drugs was tested in the IMbrave150 trial?,list,"[['atezolizumab'], ['bevacizumab']]","[['atezolizumab-bevacizumab'], ['atezolizumab'], ['bevacizumab'], ['Atezolizumab'], ['cabozantinib']]",?,?,?
List signs of patients with biallelic variants in KARS1,list,"[['autism'], ['hyperactive behavior'], ['pontine hypoplasia'], ['cerebellar atrophy with prevalent vermian involvement']]",[['autism']],?,?,?
List diseases that are  repeat expansion disorders (REDs).,list,"[[""Huntington's disease,""], ['amyotrophic lateral sclerosis'], ['frontotemporal dementia'], ['fragile X-associated tremor/ataxia syndrome', 'FRAXA', 'FRAXE'], ['myotonic dystrophies'], ['FMR1 disorders,', 'Fragile X-related disorders (FXDs),'], ['SCA3 (Spinocerebellar ataxia Type 3 or Machado-Joseph disease)'], ['DRPLA (Dentatorubropallidoluysian atrophy)'], ['SBMA (Spinal and bulbar muscular atrophy'], ['Baratela-Scott syndrome']]","[['Fragile-X related disorders'], ['X-related disorders'], ['Machado-Joseph disease'], ['spinocerebellar ataxia type 1'], ['X-associated tremor/ataxia syndrome'], ['pure spastic peraplegia'], ['FX) syndrome'], ['Fragile X-related disorders'], ['FXDs']]",?,?,?
Which drugs are included in the CAPIRI regimen?,list,"[['capecitabine'], ['irinotecan']]","[['irinotecan'], ['capecitabine'], ['bevacizumab'], ['FOLFOXIRI']]",?,?,?
Which mutations are inhibited by Ripretinib?,list,"[['KIT'], ['PDGFRA']]","[['PDGFRA'], ['KIT'], ['tyrosine kinases'], ['inKITorPDGFRAhave'], ['KIT D816V'], ['KIT tyrosine kinase'], ['c-Kit mutation'], ['KIT and PDGFRA']]",?,?,?
