body,type,exact_answer,predicted_answers,TP,FP,FN
Which diseases can be treated with Itepekimab?,list,"[['asthma'], ['chronic obstructive pulmonary disease']]","[['asthma'], ['type 2 asthma'], ['COPD']]",?,?,?
List the common retinal diseases associated with circRNAs.,list,"[['Diabetic retinopathy'], ['proliferative diabetic retinopathy'], ['retinal neovascular diseases'], ['retinal degeneraion']]","[['diabetic retinopathy'], ['retinal microangiopathy'], ['age-related macular degeneration'], ['oxygen-induced retinopathy'], ['hyperhomocysteinemia'], ['osteoblasts'], ['Diabetic retinopathy']]",?,?,?
Which drugs are included in the CABENUVA pill?,list,"[['cabotegravir'], ['rilpivirine']]","[['LA cabotegravir'], ['cabotegravir'], ['Cabotegravir'], ['Cabenuva'], ['HIV']]",?,?,?
What methods are used to diagnose bowel endometriosis?,list,"[['Trans vaginal ultrasound'], ['Double-contrast barium enema'], ['endoscopic ultrasonography'], ['multidetector CT enema'], ['computed tomography colonoscopy'], ['MRI'], ['CT'], ['rectal endoscopic sonography (RES)'], ['Speckle sign']]","[['MRI'], ['Laparoscopy'], ['Transrectal ultrasound scanning'], ['RWC-TVS'], ['ultrasound'], ['MEDLINE (1966-2010) and EMBASE'], ['radiological techniques'], ['3D-RWC'], ['single sagittal T2-weighted MRI motion sequence'], ['Transvaginal ultrasonography']]",?,?,?
Which processes are affected by pathogenic SPTBN1 variants?,list,"[['βII-spectrin stability'], ['Disrupt binding to key molecular partners'], ['Disturb cytoskeleton organization and dynamics']]","[['central nervous system'], ['cytoskeleton organization and dynamics. Our studies define SPTBN1 variants as the genetic basis of a neurodevelopmental syndrome, expand the set of spectrinopathies affecting the brain']]",?,?,?
What are the phases of hair follicle cycle?,list,"[['anagen'], ['catagen'], ['telogen']]","[['catagen'], ['HF stages'], ['quiescent'], ['murine anagen'], ['telogen'], ['growing'], [""anagen induction also occur in human scalp HFs, yet with notable differences. This provides a rational basis for Wnt-targeting therapeutic interventions to manipulate human hair growth disorders. What's already known about this topic? Upregulation of Wnt agonists and downregulation of Wnt antagonists in the secondary hair germ and/or dermal papilla drives hair growth""], ['telogen quiescence']]",?,?,?
What types of anti-tumor therapeutic antibodies are available?,list,"[['single-targeted antibodies'], ['bi-specific antibodies', 'BsAbs'], ['antibody-drug conjugates', 'ADCs']]","[['single-targeted antibodies'], ['single-targeted antibodies, bi-specific antibodies']]",?,?,?
List second messengers.,list,"[['Cyclic adenosine monophosphate'], ['Ceramide'], ['Cyclic diguanylate'], ['Nitric oxide'], ['Calcium'], ['Diacylglycerol']]","[['cAMP'], ['ceramide'], ['c-di-GMP'], ['transcription'], ['AclR1'], ['PilZN'], ['VOSO4'], ['calcium'], ['deltaproteobacteria']]",?,?,?
Which transporter is inhibited by Sotagliflozin?,list,"[['sodium-glucose co-transporter 1'], ['sodium-glucose co-transporter 2']]","[['SGLT2'], ['SGLT'], ['SGLT1'], ['galactose'], ['GLP-1'], ['sodium-glucose cotransporters']]",?,?,?
Which syndromes are caused by LAMA1 mutations?,list,"[['Poretti-Boltshauser syndrome'], ['Joubert syndrome']]","[['Poretti-Boltshauser syndrome'], ['Knobloch syndrome']]",?,?,?
Which VKORC1 genotypes are associated with a need for lower warfarin maintenance dose?,list,"[['VKORC1-1639GA', '1639GA', 'GA'], ['VKORC1-1639GA', '1639AA', 'AA']]","[['CYP2C9'], ['VKORC1-1639']]",?,?,?
Which R/bioconductor have been developed for copy number analysis?,list,"[['CNVRanger'], ['seqCNA'], ['iGC'], ['PLRS'], ['SomatiCA'], ['Copynumber'], ['crlmm'], ['KC-SMARTR']]","[['KC-SMART'], ['SomatiCA'], ['PLRS'], ['seqCNA'], ['crlmm'], ['CNVRanger'], ['iGC'], ['copynumber'], ['KC-SMARTR'], ['criteria']]",?,?,?
Which neuropsychiatric disorders are associated with 16p13.11 genomic copy number variants?,list,"[['schizophrenia'], ['autism'], ['mental retardation'], ['ADHD'], ['epilepsy']]","[['mesial temporal lobe epilepsy'], ['epilepsy']]",?,?,?
List the main protein families found in human tears?,list,"[['Lipocalin'], ['Cystatin S'], ['calcyclin'], ['calgranulin A'], ['matrix metalloproteinase 9'], ['LTF'], ['LYZ'], ['ZAG'], ['DNAJC3']]","[['Tear lipocalin'], ['tear lipocalin'], ['CST4'], ['hub genes'], ['cystatin S (CST4'], ['matrix metalloproteinases, cathepsins'], ['S100A6 and S100A8'], ['cathepsins'], ['LTF']]",?,?,?
List 4 monoclonal antibodies in development for the prevention of migraine.,list,"[['ALD403', 'eptinezumab'], ['AMG334', 'erenumab'], ['LY2951742', 'galcanezumab'], ['TEV-48125', 'fremanezumab']]","[['ubrogepant'], ['LY2951742 (galcanezumab), and TEV-48125']]",?,?,?
