body,type,exact_answer,predicted_answers,predicted_answer_pos
Which CD38 antibody has been shown to be effective for Lupus Erythematosus?,factoid,[['Daratumumab']],"[['Daratumumab'], ['elotuzumab'], ['TNFSF13B'], ['daratumumab'], ['SLAMF1 and SLAMF7']]",?
What is a circRNA?,factoid,[['Circular RNAs (circRNAs) are a new class of non-coding RNA with a stable structure formed by special loop splicing.']],"[['Circular RNAs'], ['circular (circ)RNAs'], ['circ_014154'], ['circRNAs']]",?
Which one of the CYP450 enzymes is the second most frequently implicated in the metabolism of the drugs currently available on the market?,factoid,[['CYP2D6']],"[['CYP2D6'], ['P2D6 enzymes.']]",?
What is the msDNA?,factoid,"[['msDNA is actually a complex of DNA, RNA, and probably protein.']]","[['Multi-copy single-stranded DNA'], ['multi-copy single-stranded DNA'], ['msDNAs are small, structurally unique satellite DNAs'], ['satellite DNA known as msDNA. msDNA is actually a complex of DNA, RNA, and probably protein.'], ['Retron']]",?
What percentage of currently available drugs are metabolized by CYP3A4?,factoid,[['50%']],"[['30%'], ['Standardized extracts from nine medicinal plants (Bauhinia forficata, Cecropia glaziovii, Cimicifuga racemosa, Cynara scolymus, Echinacea sp., Ginkgo biloba, Glycine max, Ilex paraguariensis, and Matricaria recutita) were evaluated for their potential interactions mediated by CYP3A4 and CYP2D6 enzymes. Among the extracts tested, C. glaziovii (red emba?ba) showed the most relevant inhibitory effects of CYP3A4 and CYP2D6 activity, while I. paraguariensis (yerba mate']]",?
What is caused by bi-allelic loss-of-function variants in IPO8?,factoid,[['A syndromic form of thoracic aortic aneurysm (TAA) with clinical overlap with Loeys-Dietz and Shprintzen-Goldberg syndromes']],"[['thoracic aortic aneurysm'], ['TAA']]",?
Which glands in the bee secretes royal jelly?,factoid,[['hypopharyngeal glands']],"[['hypopharyngeal glands'], ['hypopharyngeal'], ['nurse hypopharyngeal glands'], ['ecdysone']]",?
When did FDA approve the first B-cell maturation antigen-targeted CAR-T cell therapy?,factoid,[['26 March 2021']],"[['March 26, 2021'], ['chronic lymphocytic leukemia'], ['BTK/ITK inhibition with ibrutinib during CART cell culture'], ['CLL. Besides BTK, ibrutinib additionally inhibits interleukin-2-inducible T-cell kinase (ITK) which is involved in T-cell differentiation. To evaluate the effect of ibrutinib on CART cell production, peripheral blood mononuclear cells from nine healthy donors and eight CLL patients were used to generate CART cells. T-cell expansion and phenotype, expression of homing and exhaustion makers as well as functionality of CART cells were evaluated. CART cell generation in the presence of ibrutinib resulted in increased cell viability and expansion of CLL patient-derived CART cells. Furthermore, ibrutinib enriched CART cells with less-differentiated na?ve']]",?
When is the drug Ivermectin used?,factoid,[['Ivermectin is used to treat parasitic diseases']],"[['parasitic diseases'], ['once a month'], ['helminth infections.'], ['day 11 and day 12'], ['13-month period']]",?
What is the effect of rHDL-apoE3 on vascular permeability?,factoid,[['Improves']],"[['hypercholesterolemia'], ['reduced concentration of Evans Blue dye'], ['Atherosclerotic Coronary Artery Disease (ASCAD']]",?
