body,type,exact_answer,predicted_answers,TP,FP,FN
Are there any tools that could predict protein structure considering amino acid sequence?,list,"[['AlphaFold'], ['PredictProtein', 'predictprotein'], ['PSIPRED', 'PSIPRED Workbench'], ['Jpred', 'jpred'], ['Porter', 'PaleAle 4.0', 'porter 4.0', 'PaleAle'], ['Jnet', 'jnet algorithm']]","[['Distill'], ['PREDICT-2ND'], ['PEP-FOLD'], ['Jnet'], ['deep learning'], ['Porter'], ['PROSPECT'], ['PreSSAPro'], ['SPEED'], ['resource']]",?,?,?
Which proteins does p110α interact with?,list,"[['p85α', 'p85'], ['RAS', 'ras']]","[['RAS'], ['PI3K'], ['p85']]",?,?,?
Which are the types of cancer that c-Myc is associated with?,list,"[['Breast cancer', 'breast cancer'], ['Non-small-cell lung cancer', 'NSCLC'], ['Pancreatic ductal adenocarcinoma', 'pda']]","[[""Burkitt's lymphoma""], ['breast cancer'], ['thyroid cancer'], ['glioma'], ['breast cancers'], ['small cell lung cancer'], ['squamous carcinomas']]",?,?,?
Which pathways are involved in cellular senescence?,list,"[['Activation of the p53/p21 tumor suppressor pathway'], ['Activation of the p16/pRB tumor suppressor pathway']]","[['p53/p21WAF1/CIP1'], ['signaling']]",?,?,?
Which are the components that evaluate druglikeness?,list,"[['No more than 5 hydrogen bond donors', 'H-bond donors'], ['No more than 10 hydrogen bond acceptors', 'H-bond acceptors'], ['A molecular mass less than 500 daltons', 'molecular weight', 'MWT'], ['An octanol-water partition coefficient (log P) that does not exceed 5', 'MlogP', 'CLogP']]","[['PAMPA'], ['aromatic and non-aromatic rings'], ['pK'], ['RO5'], ['hydrogen acceptors'], ['MWT'], ['bond capacity. For these, extreme values were set, e.g., maximum molecular weight 1500, calculated negative logarithm of the octanol/water partition'], ['octanol-water partition'], ['lead']]",?,?,?
Which small molecules inhibit the c-Myc/Max dimerization?,list,"[['Mycro1', 'Mycro1'], ['Mycro2', 'Mycro2'], ['Mycro3', 'Mycro3'], ['IIA6B17', 'IIA6B17'], ['celastrol', 'celastrol'], ['10058-F4', '10058-F4'], ['10074-G5', '10074-G5'], ['JY-3-094', 'generated an analog, JY-3-094'], ['KJ-Pyr-9', 'KJ-Pyr-9'], ['MYCi361', 'MYCi361'], ['MYCi975', 'MYCi975']]","[['10058-F4'], ['Mycro3'], ['10074-G5'], ['ecule 10074-G5'], ['IIA6B17']]",?,?,?
Which models are used for predicting disease progression in Duchenne Muscular Dystrophy?,list,"[['cumulative distribution function using a non-linear mixed effects approach'], ['nonlinear mixed-effects'], ['latent process models'], ['bayesian models'], ['linear regression model'], ['multiple regression model'], ['multiple logistic regression model'], ['Kaplan-Meier survival analysis'], [""Cox-Snell's proportional risk model""]]","[['CTS'], ['mixed effects'], ['logistic regression'], [""Cox-Snell's""], ['Kaplan Meier'], ['process'], ['biomarkers'], ['linear'], ['previous DMD natural history study'], ['Walk Test']]",?,?,?
For what known mutations is KRAS gene considered to be oncogenic?,list,"[['G12C', 'g12c', 'KRAS G12C', 'kras g12c'], ['G12V', 'g12v', 'KRAS G12V', 'kras g12v'], ['G12D', 'g12d', 'KRAS G12D', 'kras g12d'], ['G12A', 'g12a', 'KRAS G12A', 'kras g12a']]","[['G12S'], ['G12D'], ['G12C'], ['KRASG12D'], ['OES-associated alterations'], ['ERBB2'], ['GG12-13VC'], ['single amino acid substitutions']]",?,?,?
Which proteins does the p85α interact with?,list,"[['p85α', 'p85'], ['p110α', 'p110'], ['p110δ']]","[['c-Cbl, Shc, Grb2'], ['regulatory interactions of p110'], ['p110'], ['p11'], ['homodimerized'], ['homodimeric but not monomeric']]",?,?,?
Computational tools for predicting allosteric pathways in proteins,list,"[['MCPath'], ['MutInf'], ['pySCA'], ['CorrSite'], ['CARDS']]","[['Ohm'], ['MutInf'], ['MONETA'], ['Monte Carlo'], ['SBSMMA'], ['Correlation of All Rotameric and Dynamical States (CARDS) framework'], ['CorrSite'], ['MC'], ['overy. Allosite'], ['MC path generation approach']]",?,?,?
