body,type,exact_answer,predicted_answers,TP,FP,FN
What are the symptoms of an incidental durotomy (ID).,list,"[['postural headaches'], ['vomiting'], ['dizziness'], ['photophobia'], ['tinnitus'], ['vertigo'], ['menningitis']]","[['meningitis'], ['tinnitus']]",?,?,?
What are the functions of DNA and RNA G-quadruplexes?,list,"[['transcription'], ['translation'], ['splicing'], ['RNA regulation']]","[['gene expression'], ['inhibit its activity'], ['inhibition of cellular senescence'], ['transcriptional activity'], ['oxidase propensities'], ['transcription'], ['modulate gene expression and inhibit cell growth'], ['translation']]",?,?,?
Name scRNA-seq workflows which harness graph attention networks,list,"[['CellVGAE'], ['SCDRHA']]","[['CellVGAE'], ['SCDRHA']]",?,?,?
Which genetic susceptibility loci are implicated in irritable bowel syndrome (IBS)?,list,"[['NCAM1'], ['CADM2'], ['PHF2', 'FAM120A'], ['DOCK9'], ['CKAP2', 'TPTE2P3'], ['BAG6']]",[['NCAM1']],?,?,?
Atlanto-axial rotary instability (Fielding type 1) is common to what diseases?,list,"[['rheumatoid arthritis'], ['connective tissues disorders'], ['infectious disease'], ['Stickler syndrome'], ['Loeys-Dietz syndrome'], [""Marfan's syndrome""], ['Morquio syndrome'], ['Ehlers-Danlos (EDS) syndrome']]","[['Down syndrome'], ['connective tissue disorders'], ['rheumatoid arthritis'], ['Type VI'], ['quadriparesis'], [""Grisel's syndrome""], ['torticollis'], ['AARF) resulting from drug-induced cervical dystonia (DICD'], ['Ankylosing spondylitis']]",?,?,?
Which drugs were included in the polypill that was tested in TIPS-3 trial?,list,"[['atenolol'], ['ramipril'], ['hydrochlorothiazide'], ['statin']]",[['ramipril']],?,?,?
In which aspects of the immune response is m6A methylation implicated?,list,"[['pathogen recognition'], ['immune cell activation'], ['immune cell fate decisions'], ['immune reactions']]",[['immune cell activation']],?,?,?
What are the main clinical components of the brain death exam?,list,"[['coma'], ['neurologic exam', 'neurologic criteria'], ['Apnea test'], ['Ancillary test'], ['somatosensory evoked potentials'], ['electroencephalography'], ['transcranial Doppler ultrasonography'], ['nuclear medicine flow study'], ['conventional cerebral angiography'], ['brainstem auditory evoked potentials']]","[['apnea'], ['neurologic'], ['Apnea'], ['confirmatory ATs'], ['computed tomography angiography'], ['selective four vessels angiography'], ['parenchymal imaging'], ['electrical activity'], ['neurologic criteria'], ['cerebral angiography']]",?,?,?
What variables are included in the MuLBSTA score?,list,"[['Multilobular infiltration'], ['hypo-Lymphocytosis'], ['Bacterial coinfection'], ['Smoking history'], ['hyper-Tension'], ['Age']]","[['hypo-Lymphocytosis'], ['age'], ['ages'], ['hypo-Lymphocytosis, Bacterial coinfection, Smoking history'], ['bacterial coinfection, smoking history'], ['bacterial coinfection, smoking history, hyper-tension']]",?,?,?
Which organisms are the focus of the Wormbase?,list,"[['Caenorhabditis elegans'], ['nematodes'], ['parasitic flatworms']]","[['nematode Caenorhabditis elegans'], ['Caenorhabditis elegans'], ['nematode C. elegans'], ['nematode']]",?,?,?
What are the targets of Tirbanibulin?,list,"[['Src kinase signaling'], ['tubulin polymerisation']]","[['actinic keratosis'], ['Src kinase'], ['tubulin'], ['tubulin polymerization'], ['Src'], ['psoriasis']]",?,?,?
What are the targets of avapritinib?,list,"[['KIT'], ['PDGFRA']]","[['ibitors'], ['PDGFRA D842V'], ['PDGFRA'], ['systemic mastocytosis'], ['gastrointestinal stromal tumors']]",?,?,?
